熔断-v 1000
市场-n 791
机制-n 564
交易-n 330
A股-n 274
指数-n 258
投资者-n 207
基金-n 206
中国ns 205
触发-v 192
股市-n 183
暂停-d 169
下跌-v 155
期货-n 152
表示-v 139
减持-v 132
认为-v 123
股指-n 118
股票-n 117
波动vn 117
投资vn 116
时-n 113
情况-n 110
记者-n 103
人民币-n 101
价格-n 100
跌幅-n 98
说-v 96
制度-n 96
证券-n 96
实施-v 96
交易日-n 94
相关-v 94
经济-n 94
人-n 92
监管vn 89
风险-n 89
暴跌-v 87
时间-n 87
新-a 86
出现-v 86
阈值-n 85
进行-v 84
问题-n 80
已经-d 80
机构-n 79
公司-n 79
流动性-n 77
导致-v 77
深-a 76
调整vn 73
股东-n 72
恐慌an 71
称-v 69
做-v 68
交易所nt 68
推出-v 67
影响vn 65
稳定-a 63
跌停-v 61
管理vn 60
产品-n 60
预期vn 59
应该-v 59
规定-n 59
作用-v 59
市-n 58
股民-n 55
研究vn 55
大跌-v 54
需要-v 54
好-a 54
行情-n 54
万科nz 53
效应-n 53
高-a 52
人士-n 52
跌停板-n 52
客户-n 51
开盘-v 50
限制-v 50
私募-a 50
政策-n 50
提前-v 50
资产-n 50
改革vn 49
业务-n 48
肖钢nr 48
美国ns 48
个股-n 47
太-d 47
恢复-v 47
存在-v 46
收盘-n 46
股灾-n 46
跌-v 46
原因-n 46
商品-n 46
发布-v 46
继续-v 46
