593,2016-01-08,所有改革都在测试老百姓利益被损害的承受力，测试百姓的容忍底线，政府高层这种思维方式必将把国家推向深渊！
565,2016-01-04,从来不发言，今天看到这，不得不说你是条好狗！我们老百姓不认别的，谁能让我过上好日子我就认谁！至于你是的那些我无从考证。但是，既然存在有这么多问题，为什么急于求成，不用考虑老百姓的处境，现在的人也是有问题的！！！
551,2016-01-05,一句话概括：一切所作所为只为压榨老百姓！
546,2016-01-05,人不要脸，天下无敌
229,2016-01-04,大盘5%---7%熔断时大多已是千股跌停了，此时熔断有什么用？？？一点意义都没有。管理者是猪脑。
480,2016-01-07,人祸！人祸！没别的原因，都是预谋好了的！别找原因了，这是政府干的！！早就策划好的阴谋！
218,2016-01-07,短短半年时间中国股市已经被证监会弄出了三次大危机了，六月、八月、目前，每两个月一次，这难道就是国家要的新常态吗
304,2016-01-04,都已经跌无可跌等涨的时候就熔断了，现在休市也是跌停，说不定后面能涨一点呢，连反弹的机会都不给了，这熔断不科学啊
275,2016-01-08,肖钢确实没有能力。配资前意识不到风险，市场最脆弱的时候清理配资。减持前意识不到危害，大跌后想起来颁布减持规则，熔断间隔时间短，停的时间短。如此效果真是熔断效果啊。国家大事，如此外行，该下课了。
321,2016-01-04,人家美国1988年实施熔断至今触发过一次，我们国家第一次实施就用上了，悲哀！
201,2016-01-04,好的企业到股市融资，然后发展壮大回报投资者是正常的资本市场，而我们的是企业到股市来圈钱，而且还是圈了还想圈，不圈白不圈，至于回报投资者，没门。正常的资本市场是有进有出，我们的市场是只进不出，垃圾企业变个名堂又来骗钱。
416,2016-01-07,试问，最近十年来，欧美股市有几次跌幅超过百分之5的，08年以来有几次？而我们一年来有几次？什么原因？谁该担责？今天达到了极致。
403,2016-01-04,熔断引发了股民更加恐慌的心理，又一次千股跌停
403,2016-01-07,中国的领导根本就不懂经济。经济不是单纯的国内资源和劳动力输出到国外，经济是国内消费和国内生产的配合，配合靠的就是货币。货币本无价值，因为可以兑现商品才有的价值，出口只是实现他国货币的价值，内销才实现了本国货币的价值。所以发展本国经济就需要不断的投放货币，尽可能的分配到每个人手中，然后去消费，由货币的增量拉动生产，货币拉动的比率和生产增加的比例接近就不会通胀。股市作为融资渠道，总市值不断增加，才能“变出”货币来，看似是虚的，其实兑现了就可以去组织生产和消费。傻缺领导们竟然根本就不知道怎么管理股市，股市非理性暴涨的时候不管，听信所谓的泡沫言论，就打压股市，总市值不断缩水的股市，是变不出钱来的。要想在股市变钱出来，就需要稳固的市值，可所有这些都是在市值不断增加的基础上的。股票本身就是虚拟无价值的符号，只有有人购买才有价值，市值不增加没有分红，谁还会在股市投资，只会投机。新股发了就行了，股票增发了就行了，最后一地鸡毛，只有少数拿走了钱，大多数人亏，亏了就影响再投资和消费。
362,2016-01-08,肖刚下岗股指期货必须要停，一次次的相信证监会，一次次被骗的体无完肤！肖刚你要给全国股民一个交代，赔偿股民的经济损失！
389,2016-01-07,熔断和股指期货都必须果断取消！另外我一直想说的一点时，新股发行在中国不是放慢节奏的问题，而是根本就不能再发行了的问题。只有上市公司被摘牌腾出了位置才能安排新股上市。美国纽约证券交易所一直到现在也不过维持在两千多只股票的规模上，而纳斯达克虽然上新股，但不要忘了，那是全世界的资金去买卖支撑的。相形之下，中国的股市基本都靠国内资金，凭什么无何止地发新股？！简直没天理！
389,2016-01-07,要扒一扒当初极力鼓吹熔断的都是什么货色！证监会早已失去了独立判断和监管的能力，成了任由利益集团摆布的工具，成了做空中国的帮凶！应立即暂停股市，重组证监会！
232,2016-01-04,千股跌停辞旧岁，万人跳楼迎新年。横批：熔断机制！写得好，真实写照
274,2016-01-07,机构游资利用股指期货做空股市已是无可辩白的事实，散户没法抗衡，一边倒的情况下哪有公平可言，强烈要求关停股指期货
294,2016-01-04,[哈哈][国旗]今天就是在伟大的“熔断机制”保护之下，结果市场平均跌幅依旧达－9%，接近全线跌停......所以“熔断机制”，基本上等于形同虚设、画蛇添足、多此一举！而唯一的作用，就是提前收盘，甚至如果早盘暴跌的话全天不用再开盘，省了无数看盘电费......熔断机制没带给市场任何好处，反而给市场带来无尽的烦恼！
